taxa,model_used,epbc_status,epbc_listed_name,npw_status,npw_listed_name,future_status,future_listed_name
Embadium uncinatum,sdm,,,,,RA,Embadium uncinatum
Emblema pictum,ibra,,,R,Emblema pictum,RA,Emblema pictum
Emydura macquarii,sdm,,,V,Emydura macquarii,VU,Emydura macquarii
Enneapogon lindleyanus,ibra,,,,,RA,Enneapogon lindleyanus
Eragrostis lacunaria,sdm,,,R,Eragrostis lacunaria,,
Eremophila fallax,sdm,,,,,RA,Eremophila fallax
Eremophila gibbifolia,sdm,,,R,Eremophila gibbifolia,RA,Eremophila gibbifolia
Eremophila interstans,ibra,,,R,Eremophila interstans ssp. interstans,,
Eremophila oppositifolia,sdm,,,,,VU,Eremophila oppositifolia ssp. angustifolia
Eremophila pentaptera,sdm,,,R,Eremophila pentaptera,VU,Eremophila pentaptera
Eremophila platythamnos,sdm,,,,,RA,Eremophila platythamnos ssp. villosa
Eremophila polyclada,sdm,,,R,Eremophila polyclada,RA,Eremophila polyclada
Eremophila subfloccosa,sdm,,,R,Eremophila subfloccosa ssp. glandulosa,VU,Eremophila subfloccosa ssp. glandulosa
Eucalyptus calycogona,sdm,,,E,Eucalyptus calycogona ssp. spaffordii,EN,Eucalyptus calycogona ssp. spaffordii
Eucalyptus lansdowneana,sdm,,,,,VU,Eucalyptus lansdowneana
Falco hypoleucos,sdm,VU,Falco hypoleucos,R,Falco hypoleucos,EN,Falco hypoleucos
Falco peregrinus,sdm,,,R,Falco peregrinus macropus,RA,Falco peregrinus macropus
Falco subniger,sdm,,,R,Falco subniger,RA,Falco subniger
Falcunculus frontatus,sdm,,,R,Falcunculus frontatus frontatus,VU,Falcunculus frontatus frontatus
Frankenia cinerea,sdm,,,R,Frankenia cinerea,,
Frankenia plicata,epbc,EN,Frankenia plicata,V,Frankenia plicata,,
Frankenia subteres,sdm,,,R,Frankenia subteres,RA,Frankenia subteres
Galium australe,sdm,,,,,VU,Galium australe
Galium bulliformis,ibra,,,,,RA,Galium bulliformis
Gerygone fusca,sdm,,,R,Gerygone fusca,EN,Gerygone fusca fusca
Gilesia biniflora,sdm,,,R,Gilesia biniflora,,
Glossostigma cleistanthum,sdm,,,,,RA,Glossostigma cleistanthum
Glycine tabacina,sdm,,,V,Glycine tabacina,EN,Glycine tabacina
Gnaphalium diamantinense,ibra,,,,,RA,Gnaphalium diamantinense
Gnephosis drummondii,sdm,,,,,RA,Gnephosis drummondii
Goodenia benthamiana,ibra,,,R,Goodenia benthamiana,RA,Goodenia benthamiana
Goodenia lobata,sdm,,,,,RA,Goodenia lobata
Goodenia quasilibera,sdm,,,,,RA,Goodenia quasilibera
Gratwickia monochaeta,sdm,,,R,Gratwickia monochaeta,RA,Gratwickia monochaeta
Grevillea anethifolia,sdm,,,R,Grevillea anethifolia,RA,Grevillea anethifolia
Grevillea parallelinervis,sdm,,,,,RA,Grevillea parallelinervis
Gunniopsis calva,sdm,,,,,RA,Gunniopsis calva
Haeckeria cassiniiformis,sdm,,,R,Haeckeria cassiniiformis,RA,Haeckeria cassiniiformis
Haeckeria punctulata,sdm,,,,,RA,Haeckeria punctulata
Haliaeetus leucogaster,sdm,,,E,Haliaeetus leucogaster,EN,Haliaeetus leucogaster
Hamirostra melanosternon,ibra,,,R,Hamirostra melanosternon,RA,Hamirostra melanosternon
Hibbertia crispula,sdm,VU,Hibbertia crispula,V,Hibbertia crispula,RA,Hibbertia crispula
Hieraaetus morphnoides,sdm,,,V,Hieraaetus morphnoides,VU,Hieraaetus morphnoides
Hylacola cauta,sdm,,,R,Hylacola cauta cauta,RA,Hylacola cauta cauta
Hypotaenidia philippensis,sdm,,,,,RA,Gallirallus philippensis mellori
Indigofera australis,sdm,,,,,RA,Indigofera australis ssp. australis
Indigofera australis,sdm,,,,,RA,Indigofera australis ssp. hesperia
Isolepis stellata,sdm,,,,,RA,Isolepis stellata
Kobonga godingi,ibra,,,,,,
Lasioglossum oblitum,ibra,,,,,,
Lawrencia berthae,ibra,,,R,Lawrencia berthae,RA,Lawrencia berthae
Leipoa ocellata,sdm,VU,Leipoa ocellata,V,Leipoa ocellata,VU,Leipoa ocellata
Leptorhynchos melanocarpus,ibra,,,V,Leptorhynchos melanocarpus,VU,Leptorhynchos melanocarpus
Leptorhynchos scaber,sdm,,,R,Leptorhynchos scaber,VU,Leptorhynchos scaber
Lerista distinguenda,sdm,,,R,Lerista distinguenda,RA,Lerista distinguenda
Levenhookia stipitata,sdm,,,R,Levenhookia stipitata,RA,Levenhookia stipitata
Lichenostigma rugosum,ibra,,,,,,
Lichenostomus cratitius,sdm,,,R,Lichenostomus cratitius occidentalis,RA,Lichenostomus cratitius occidentalis
Limosella curdieana,sdm,,,,,RA,Limosella curdieana var. curdieana
Lobelia cleistogamoides,sdm,,,R,,,
Lobelia heterophylla,sdm,,,R,Lobelia heterophylla,,
Lophochroa leadbeateri,sdm,,,R,Lophochroa leadbeateri,RA,Lophochroa leadbeateri mollis
Lophoictinia isura,sdm,,,E,Lophoictinia isura,CR,Lophoictinia isura
Lycopus australis,sdm,,,,,RA,Lycopus australis
Lythrum paradoxum,sdm,,,,,RA,Lythrum paradoxum
Maireana cannonii,sdm,,,,,RA,Maireana cannonii
Maireana carnosa,sdm,,,,,RA,Maireana carnosa
Maireana excavata,ibra,,,V,Maireana excavata,VU,Maireana excavata
Maireana rohrlachii,ibra,,,R,Maireana rohrlachii,,
Maireana suaedifolia,sdm,,,R,Maireana suaedifolia,RA,Maireana suaedifolia
Malacocera gracilis,sdm,,,V,Malacocera gracilis,RA,Malacocera gracilis
Malva preissiana,sdm,,,,,RA,Malva preissiana
Melaleuca armillaris,sdm,,,R,Melaleuca armillaris ssp. akineta,,
Melaleuca leiocarpa,sdm,,,R,Melaleuca leiocarpa,RA,Melaleuca leiocarpa
Melaleuca oxyphylla,sdm,,,R,Melaleuca oxyphylla,RA,Melaleuca oxyphylla
Melanodryas cucullata,sdm,EN,Melanodryas cucullata cucullata,R,Melanodryas cucullata cucullata,VU,Melanodryas cucullata cucullata
Microlepidium pilosulum,sdm,,,R,Microlepidium pilosulum,,
Morelia imbricata,ibra,,,,,RA,"	Morelia imbricata"
