taxa,model_used,epbc_status,epbc_listed_name,npw_status,npw_listed_name,future_status,future_listed_name
Myriophyllum papillosum,sdm,,,R,Myriophyllum papillosum,RA,Myriophyllum papillosum
Neophema chrysostoma,sdm,VU,Neophema chrysostoma,V,Neophema chrysostoma,RA,Neophema chrysostoma
Neophema elegans,sdm,,,R,Neophema elegans elegans,VU,Neophema elegans elegans
Ninox connivens,sdm,,,R,Ninox connivens connivens,VU,Ninox connivens connivens
Notomys fuscus,sdm,VU,Notomys fuscus,V,Notomys fuscus,,
Nyctophilus corbeni,epbc,VU,Nyctophilus corbeni,V,Nyctophilus corbeni,VU,Nyctophilus corbeni
Nymphoides crenata,sdm,,,R,Nymphoides crenata,VU,Nymphoides crenata
Oedura cincta,sdm,,,R,Oedura cincta,RA,Oedura cincta
Omorgus strzeleckensis,ibra,,,,,,
Ophioglossum polyphyllum,sdm,,,R,Ophioglossum polyphyllum,,
Orobanche cernua,sdm,,,R,Orobanche cernua var. australiana,RA,Orobanche cernua var. australiana
Osteocarpum acropterum,sdm,,,R,Osteocarpum acropterum var. deminutum,,
Oxyura australis,sdm,,,R,Oxyura australis,VU,Oxyura australis
Ozothamnus scaber,sdm,,,V,Ozothamnus scaber,RA,Ozothamnus scaber
Pachycephala inornata,sdm,,,R,Pachycephala inornata,,
Pachymorpha spinosa,ibra,,,,,,
Pedionomus torquatus,sdm,CR,Pedionomus torquatus,E,Pedionomus torquatus,EN,Pedionomus torquatus
Petrogale xanthopus,sdm,VU,Petrogale xanthopus xanthopus,V,Petrogale xanthopus,,
Philemon citreogularis,sdm,,,R,Philemon citreogularis citreogularis,RA,Philemon citreogularis citreogularis
Philotheca difformis,sdm,,,V,Philotheca difformis ssp. difformis,VU,Philotheca difformis ssp. difformis
Picris squarrosa,sdm,,,R,Picris squarrosa,RA,Picris squarrosa
Pilularia novae-hollandiae,sdm,,,R,Pilularia novaehollandiae,VU,Pilularia novae-hollandiae
Pimelea microcephala,sdm,,,,,VU,Pimelea microcephala ssp. glabra
Platalea flavipes,sdm,,,,,RA,Platalea flavipes
Plectorhyncha lanceolata,sdm,,,R,Plectorhyncha lanceolata,RA,Plectorhyncha lanceolata
Plegadis falcinellus,sdm,,,R,Plegadis falcinellus,RA,Plegadis falcinellus
Poa fordeana,sdm,,,,,RA,Poa fordeana
Podiceps cristatus,sdm,,,R,Podiceps cristatus australis,,
Podolepis muelleri,sdm,,,V,Podolepis muelleri,VU,Podolepis muelleri
Potamogeton ochreatus,ibra,,,R,Potamogeton ochreatus,RA,Potamogeton ochreatus
Pseudomys australis,epbc,VU,Pseudomys australis,V,Pseudomys australis,,
Pteris tremula,sdm,,,R,Pteris tremula,RA,Pteris tremula
Pterostylis biseta,ibra,,,,,RA,Pterostylis biseta
Pterostylis boormanii,sdm,,,,,RA,Pterostylis boormanii
Pterostylis cobarensis,ibra,,,,,RA,Pterostylis cobarensis
Pterostylis lingua,ibra,,,E,Pterostylis lingua,,
Pterygoneurum macleanum,ibra,,,,,,
Pycnosorus chrysanthus,sdm,,,E,Pycnosorus chrysanthes,CR,Pycnosorus chrysanthes
Ranunculus inundatus,sdm,,,R,Ranunculus inundatus,VU,Ranunculus inundatus
Ranunculus pumilio,ibra,,,V,Ranunculus pumilio var. politus,VU,Ranunculus pumilio var. politus
Rhodanthe troedelii,sdm,,,,,RA,Rhodanthe troedelii
Rhytidoponera viridis,ibra,,,,,,
Roepera tesquorum,sdm,,,,,RA,Roepera tesquorum
Rorippa eustylis,sdm,,,,,RA,Rorippa eustylis
Rostratula australis,sdm,EN,Rostratula australis,E,Rostratula australis,EN,Rostratula australis
Rytidosperma laeve,ibra,,,R,Rytidosperma laeve,RA,Rytidosperma laeve
Saccolaimus flaviventris,sdm,,,R,Saccolaimus flaviventris,,
Scleroblitum atriplicinum,sdm,,,,,RA,Scleroblitum atriplicinum
Sclerolaena lanata,ibra,,,,,,
Senecio cunninghamii,sdm,,,,,VU,Senecio cunninghamii var. cunninghamii
Senecio cunninghamii,sdm,,,,,RA,Senecio cunninghamii var. flindersensis
Senecio eremicola,sdm,,,,,RA,Senecio eremicola
Senecio gawlerensis,sdm,,,R,Senecio gawlerensis,RA,Senecio gawlerensis
Senecio laceratus,sdm,,,R,Senecio laceratus,RA,Senecio laceratus
Senecio pinnatifolius,sdm,,,R,Senecio pinnatifolius var. pinnatifolius,RA,Senecio pinnatifolius var. pinnatifolius
Senna planitiicola,sdm,,,,,RA,Senna planitiicola
Sinumelon fodinalis,ibra,,,,,,
Spatula rhynchotis,sdm,,,R,Spatula rhynchotis,RA,Spatula rhynchotis
Stackhousia megaloptera,sdm,,,,,RA,Stackhousia megaloptera
Stenoprora perspicua,ibra,,,,,,
Stictonetta naevosa,sdm,,,V,Stictonetta naevosa,,
Strophurus williamsi,sdm,,,,,RA,Strophurus williamsi
Swainsona colutoides,sdm,,,,,RA,Swainsona colutoides
Swainsona fuscoviridis,sdm,,,R,Swainsona fuscoviridis,RA,Swainsona fuscoviridis
Swainsona murrayana,sdm,VU,Swainsona murrayana,V,Swainsona murrayana,VU,Swainsona murrayana
Swainsona procumbens,sdm,,,V,Swainsona procumbens,VU,Swainsona procumbens
Swainsona pyrophila,sdm,VU,Swainsona pyrophila,R,Swainsona pyrophila,RA,Swainsona pyrophila
Swainsona tephrotricha,sdm,,,,,RA,Swainsona tephrotricha
Swainsona viridis,sdm,,,V,Swainsona viridis,RA,Swainsona viridis
Syntrichia rubella,ibra,,,,,,
Tandanus tandanus,sdm,,,,,EN,Tandanus tandanus
Tecticornia lylei,sdm,,,,,RA,Tecticornia lylei
Thysanotus tenellus,sdm,,,R,Thysanotus tenellus,RA,Thysanotus tenellus
Tinzeda fraserensis,ibra,,,,,,
Trachymene thysanocarpa,sdm,,,R,Trachymene thysanocarpa,VU,Trachymene thysanocarpa
Trichosurus vulpecula,sdm,,,R,Trichosurus vulpecula,RA,Trichosurus vulpecula
Tringa nebularia,sdm,EN,Tringa nebularia,,,,
Turnix pyrrhothorax,sdm,,,R,Turnix pyrrhothorax,RA,Turnix pyrrhothorax
Varanus varius,sdm,,,R,Varanus varius,RA,Varanus varius
Vermicella annulata,sdm,,,R,Vermicella annulata,RA,Vermicella annulata
Vittadinia arida,sdm,,,,,RA,Vittadinia arida
Wahlenbergia gracilis,sdm,,,,,RA,Wahlenbergia gracilis
Xanthoparmelia leppii,ibra,,,,,,
Xerochrysum hispidum,ibra,,,,,,
